-7.393982 -6.336304 -5.430054 -10.68555 -7.051941
-7.830933 -7.288818 -6.529907 -10.60461 -8.925537
-7.903687 -7.593994 -6.754028 -10.18243 -8.665466
-7.938293 -7.492859 -6.855225 -10.09607 -8.793945
-8.014709 -7.756714 -6.908325 -10.1698 -8.757324
-9.074768 -7.746826 -6.136414 -9.088318 -6.684326
-4.010498 -3.797119 -4.957825 2.317566 -5.733337
-3.847107 -4.486755 -3.840881 -2.793091 -4.276184
-8.72821 -7.447327 -5.866333 -8.725586 -6.247681
-8.060059 -7.357849 -6.992737 -11.06116 -9.429138
-3.244141 2.355042 -1.027161 -1.660522 -6.095093
-3.307861 1.145142 -2.332153 -1.581116 -3.09198
-8.989441 -5.953186 -4.719604 -9.120544 -6.143921
-9.266602 -6.509766 -5.145813 -9.176208 -6.450745
-8.192261 -7.735596 -7.012573 -11.02454 -9.447998
4.133911 -5.814758 -4.535217 -3.99469 0.4498291
4.488586 -4.617432 -4.199829 -3.970886 0.2440796
-6.646912 -4.857239 -3.597229 -7.665222 -4.468262
-9.691528 -7.293518 -6.567383 -9.024597 -7.280701
-2.709351 -4.405762 -2.82666 -2.132202 -3.461121
-4.12854 -4.608521 -3.954041 -5.965332 -4.484436
-4.80365 -5.191345 -4.545776 -6.306458 -4.989197
-4.795898 -5.078857 -4.323181 -6.66449 -4.822754
-7.902588 -7.202087 -6.762634 -11.35455 -9.700867
-3.74292 -3.368103 1.494385 -6.24823 -4.085022
-8.325256 -7.971252 -7.181946 -10.71271 -9.042358
-8.368225 -7.953918 -7.540588 -10.56049 -9.211304
-8.238647 -8.198547 -7.337463 -10.37567 -8.979675
-8.203918 -8.052856 -6.760864 -9.075623 -8.654846
4.241333 -4.234131 -1.119263 -3.829712 -2.669861
4.274231 -4.040161 -0.6304932 -4.840027 -5.07959
-5.720581 -6.688843 -4.297302 -7.373535 -7.698669
-8.233032 -8.032043 -6.546448 -9.194031 -8.853638
-8.192261 -7.735596 -7.012573 -11.02454 -9.447998
-3.659241 -4.021179 -0.8674927 0.992981 -3.924988
-6.818481 -6.838074 -5.309814 -9.231018 -6.732971
-7.542908 -7.904175 -6.690369 -9.611023 -7.648438
-8.0802 -7.72644 -6.644897 -9.118347 -8.529419
-0.8882446 -0.4760132 0.3113403 -2.908813 -5.115845
-3.527405 -2.462891 -2.030579 -2.349731 -2.884399
-8.199768 -5.952637 -4.95282 -8.730835 -5.501953
-8.388855 -6.076416 -5.289978 -8.811707 -5.724976
-9.066223 -8.46814 -6.401306 -9.56311 -7.111084
-1.916809 -3.521851 -4.334595 0.8192749 -4.655457
-5.515076 -5.434937 -2.478699 -3.281677 -3.715332
-9.192139 -7.834717 -5.890869 -9.362671 -6.491089
-7.161438 -7.331055 -5.772888 -7.669373 -8.548462
-3.54834 -1.414551 1.380432 -2.862122 -4.435852
-1.30542 -3.82605 0.2840576 -2.023621 -4.79303
-7.765564 -5.210266 -5.555298 -7.160828 -7.14209
-9.109802 -8.418579 -7.608154 -7.993347 -9.19928
-8.410034 -8.281677 -6.683533 -9.27594 -8.765259
-3.278503 -6.44751 -3.604553 -3.567932 -1.872742
-7.333679 -7.858215 -5.537109 -8.834412 -7.196777
-7.47467 -8.15564 -5.799744 -9.069214 -7.306274
-9.253784 -8.228638 -6.346008 -9.639587 -7.009094
-5.020325 -5.997803 -4.345337 -5.741211 -2.182983
-1.395569 -5.345276 -2.206909 1.105713 -3.981567
-6.845642 -2.437256 -4.717163 4.141968 -4.153442
-7.946838 -7.882019 -6.374207 -8.215454 -4.301147
-7.814575 -7.044128 -6.624939 -11.20331 -9.556824
-4.263611 3.183044 1.122803 -7.998535 -4.920227
-7.722656 -7.670898 -6.37146 -10.09338 -8.585449
-8.341492 -7.851746 -7.412537 -10.5271 -9.123901
-8.261353 -8.180603 -7.344116 -10.48871 -9.033325
-9.146179 -8.44043 -6.408081 -9.673035 -7.172791
-9.459412 -8.413818 -6.63916 -9.608948 -6.979614
-9.54718 -8.021362 -6.770996 -9.572632 -6.796692
-9.664429 -8.202148 -6.842346 -9.735168 -6.969727
3.66626 -2.025024 1.944824 -5.332153 -5.055786
3.70459 -7.480408 -3.304749 -3.062561 -7.233887
-6.947815 -4.857666 -4.115356 -8.382202 -5.551147
