test_id,variant,channels,amp,latency_cycles,coverage,wrong_channel_frac,fa_pre,n_pre,fa_post,n_post,cleared,cycles_inj,onnx_parity,off_latency_cycles,off_coverage,off_fa_pre,off_fa_post,off_cleared,common_cycles,sim_vs_off_diff
E-AC-02b,CRPR,Iac,5.0,2.0,1.0,0.0,0,4,0,12,True,14,0.5076904296875,2.0,1.0,0,0,True,35,0
E-AC-02b,MPCC_P,Iac,5.0,2.0,1.0,0.0,0,4,0,12,True,14,0.7423706054687997,2.0,1.0,0,0,True,35,0
E-AC-02b,MPCC_D,Iac,5.0,2.0,1.0,0.0,0,4,0,12,True,14,0.5667724609374503,2.0,1.0,0,0,True,35,0
E-AC-02b,MPCC_D_F1,Iac,5.0,2.0,1.0,0.0,0,4,0,12,True,14,0.74896240234375,2.0,1.0,0,0,True,35,0
E-AC-02b,MPCC_D_F10,Iac,5.0,2.0,1.0,0.0,0,4,0,12,True,14,0.72705078125,2.0,1.0,0,0,True,35,0
E-AC-02b,MPCC_D_R,Iac,5.0,2.0,1.0,0.0,0,4,0,12,True,14,0.74676513671875,2.0,1.0,0,0,True,35,0
E-AC-02b,MPCC_D_M1,Iac,5.0,2.0,1.0,0.0,0,4,0,12,True,14,0.6947021484375,2.0,1.0,0,0,True,35,0
E-AC-02b,MPCC_D_H1,Iac,5.0,2.0,1.0,0.0,0,4,0,12,True,14,0.6346435546875,2.0,1.0,0,0,True,35,0
E-AC-02s,CRPR,Iac,10.0,4.0,0.8571428571428571,0.7142857142857143,0,4,0,12,True,14,0.54107666015625,4.0,0.8571428571428571,0,0,True,35,0
E-AC-02s,MPCC_P,Iac,10.0,2.0,1.0,0.0,0,4,2,12,False,14,0.777587890625,2.0,1.0,0,2,False,35,0
E-AC-02s,MPCC_D,Iac,10.0,2.0,1.0,0.8571428571428571,0,4,0,12,True,14,0.637939453125,2.0,1.0,0,0,True,35,0
