epoch,complex_mae,learning_rate,loss,val_complex_mae,val_loss
0,0.13000960648059845,0.0007999999797903001,0.04585215076804161,0.06860319525003433,0.008485747501254082
1,0.055798035115003586,0.0007999999797903001,0.005974990781396627,0.057245444506406784,0.006182911805808544
2,0.04555374011397362,0.0007999999797903001,0.004161549732089043,0.05151683837175369,0.00508050387725234
3,0.04441152885556221,0.0007999999797903001,0.0040119001641869545,0.052536290138959885,0.005451228003948927
4,0.042728666216135025,0.0007999999797903001,0.003887398401275277,0.0547439344227314,0.0056531997397542
5,0.041977591812610626,0.0007999999797903001,0.0037262055557221174,0.055265873670578,0.0053831846453249454
6,0.03870461881160736,0.0007999999797903001,0.003360970178619027,0.04838527366518974,0.00477271294221282
7,0.03647680580615997,0.0007999999797903001,0.003076376859098673,0.04501834511756897,0.004404560197144747
8,0.03454349562525749,0.0007999999797903001,0.0028565574903041124,0.044671665877103806,0.004456967115402222
9,0.03324447572231293,0.0007999999797903001,0.0027175014838576317,0.04319669306278229,0.0039650932885706425
10,0.031607575714588165,0.0007999999797903001,0.0025794764515012503,0.040300432592630386,0.003802936989814043
11,0.030285337939858437,0.0007999999797903001,0.0024720134679228067,0.038114964962005615,0.0035264126490801573
12,0.030693568289279938,0.0007999999797903001,0.002434537746012211,0.04024537652730942,0.0036941589787602425
13,0.029407422989606857,0.0007999999797903001,0.0022947199176996946,0.03704081103205681,0.0033653811551630497
14,0.029615050181746483,0.0007999999797903001,0.0022509887348860502,0.037290606647729874,0.003361772745847702
15,0.028736792504787445,0.0007999999797903001,0.00215817429125309,0.039279505610466,0.003484593704342842
16,0.02847113087773323,0.0007999999797903001,0.0020853502210229635,0.03765052184462547,0.003275390015915036
17,0.02910991571843624,0.0007999999797903001,0.002101470483466983,0.03616151586174965,0.003174621146172285
18,0.03014051541686058,0.0007999999797903001,0.0021526338532567024,0.0369710810482502,0.003180388594046235
19,0.02818051166832447,0.0007999999797903001,0.0019765121396631002,0.0355527326464653,0.002949947491288185
20,0.027631567791104317,0.0007999999797903001,0.0018946697236970067,0.035340677946805954,0.0028845532797276974
21,0.026475759223103523,0.0007999999797903001,0.0017716041766107082,0.03302678093314171,0.0026416610926389694
22,0.02651263400912285,0.0007999999797903001,0.0017342350911349058,0.03465336561203003,0.0026972624473273754
23,0.026541810482740402,0.0007999999797903001,0.0017199994763359427,0.0350029394030571,0.002710761735215783
24,0.0278797410428524,0.0007999999797903001,0.0017984692240133882,0.0329190194606781,0.00243336521089077
25,0.026335401460528374,0.0007999999797903001,0.0016429965617135167,0.03677031025290489,0.0028051764238625765
26,0.02615085057914257,0.0007999999797903001,0.0015861964784562588,0.03146298974752426,0.0022285901941359043
27,0.0248886551707983,0.0007999999797903001,0.0014575181994587183,0.031554967164993286,0.0021887822076678276
28,0.02560615912079811,0.0007999999797903001,0.0014842236414551735,0.03530653566122055,0.002419658238068223
29,0.025038570165634155,0.0007999999797903001,0.0014092287747189403,0.029642600566148758,0.0019483279902487993
30,0.02414206974208355,0.0007999999797903001,0.0013344900216907263,0.03182501345872879,0.002120307646691799
31,0.023485591635107994,0.0007999999797903001,0.0012676105834543705,0.029080800712108612,0.0018502795137465
32,0.02342556230723858,0.0007999999797903001,0.0012477845884859562,0.02994036301970482,0.0019066034583374858
33,0.023631559684872627,0.0007999999797903001,0.001251394278369844,0.03128302842378616,0.002023909706622362
34,0.02342338301241398,0.0007999999797903001,0.0012131374096497893,0.03058098629117012,0.0019046555971726775
35,0.023443885147571564,0.0007999999797903001,0.0012045487528666854,0.02939058654010296,0.001818101853132248
36,0.02354367822408676,0.0007999999797903001,0.0012005700264126062,0.028912626206874847,0.0017522891284897923
37,0.02316935732960701,0.0007999999797903001,0.001159190433099866,0.029713915660977364,0.00180335424374789
38,0.024405045434832573,0.0007999999797903001,0.001235014176927507,0.02915624901652336,0.0017278952291235328
39,0.0244583860039711,0.0007999999797903001,0.0012384193250909448,0.031008077785372734,0.001862735254690051
40,0.02398979663848877,0.0007999999797903001,0.0012006701435893774,0.02772708423435688,0.0016048704273998737
41,0.02374553680419922,0.0007999999797903001,0.0011708547826856375,0.02892027609050274,0.0016716824611648917
42,0.024308908730745316,0.0007999999797903001,0.00120500975754112,0.030294710770249367,0.0017429889412596822
43,0.024164395406842232,0.0007999999797903001,0.0011761992936953902,0.03160732239484787,0.0019275753293186426
44,0.02358240634202957,0.0007999999797903001,0.0011462629772722721,0.02730688266456127,0.00155067746527493
45,0.023122135549783707,0.0007999999797903001,0.0011089436011388898,0.028682777658104897,0.0016366686904802918
46,0.02283264324069023,0.0007999999797903001,0.0010721093276515603,0.027635974809527397,0.0015506569761782885
47,0.021956302225589752,0.0007999999797903001,0.0010072875302284956,0.027355333790183067,0.0015051664086058736
48,0.021802999079227448,0.0007999999797903001,0.0009841258870437741,0.026241181418299675,0.0014441192615777254
49,0.020847098901867867,0.0007999999797903001,0.0009245582041330636,0.02787117101252079,0.0015651833964511752
50,0.021539652720093727,0.0007999999797903001,0.0009660025825724006,0.02872931770980358,0.0015856047393754125
51,0.021728601306676865,0.0007999999797903001,0.0009617562755011022,0.02589184232056141,0.0013805549824610353
52,0.02067616954445839,0.0007999999797903001,0.0009032562375068665,0.026106128469109535,0.0014050251338630915
53,0.020894670858979225,0.0007999999797903001,0.0009157105232588947,0.02690611593425274,0.0014356160536408424
54,0.02196723222732544,0.0007999999797903001,0.000977317220531404,0.029732026159763336,0.0016940144123509526
55,0.02140873111784458,0.0007999999797903001,0.0009396173409186304,0.02717563509941101,0.0014852280728518963
56,0.020698659121990204,0.0007999999797903001,0.0008931336342357099,0.029801391065120697,0.0016896058805286884
57,0.020825184881687164,0.0007999999797903001,0.0008915704675018787,0.027525147423148155,0.0014639910077676177
58,0.020677300170063972,0.0007999999797903001,0.0008786924881860614,0.02726004831492901,0.001440967433154583
59,0.01969197206199169,0.0007999999797903001,0.0008170632063411176,0.025988511741161346,0.001344539923593402
