run_id,channel,shape,amp,n_inj,op,chg_t,vref_dV,noise_ch,MPCC_D_H1_thd_pre,MPCC_D_H1_thd_dur,MPCC_D_H1_P_pre,MPCC_D_H1_P_dur,MPCC_D_H1_dVdc,MPCC_D_H1_trip,MPCC_D_H1_Ipk,MPCC_D_H1_trec,MPCC_D_H1_Idc,MPCC_R_thd_pre,MPCC_R_thd_dur,MPCC_R_P_pre,MPCC_R_P_dur,MPCC_R_dVdc,MPCC_R_trip,MPCC_R_Ipk,MPCC_R_trec,MPCC_R_Idc,MPCC_D_H1_ret,MPCC_D_H1_thd_rise,MPCC_R_ret,MPCC_R_thd_rise
D0301,Ibat,sine,-6.01151388578475,1,cc,0.0,0.0,Vac,2.77060745170944,4.26354485581535,6.9,7.0018344577919,-0.00875024539396918,5,46.8969110401612,60.0000000000001,1.11458823416065,2.77060745170944,3.93368897885223,6.9,7.00071480944262,-0.026065294801014716,5,46.8274712507781,60.0000000000001,1.28894228978242,101.47586170712898,1.4929374041059096,101.45963491945825,1.16308152714279
D0302,Vdc,step,45.6646911829669,1,cc,0.0,0.0,,2.78937162331297,3.5241583835844,6.9,5.45612995131129,-46.02325358019999,0,34.6453143716869,180.0,-0.0663804353661468,2.78937162331297,3.06521812914605,6.9,6.79860143962085,-2.5924589730510093,0,63.3699892639881,100.0,-0.416833661930949,79.07434712045347,0.73478676027143,98.53045564667897,0.2758465058330799
D0303,Vac,step,25.5699067087584,1,cc,0.984572361265131,10.6074239517116,Vac,2.77122855656992,6.68787662107901,6.9,5.81454183183181,6.797862125364986,0,51.7949869636274,290.042406920278,-5.83085215656978,2.77122855656992,3.16003941905993,6.9,5.81454194511422,7.185219630126994,0,46.4531732838873,290.042406920278,-0.14932772272589,84.268722200461,3.9166480645090895,84.26872384223506,0.38881086249000996
D0304,Ibat,step,-2.27343710231274,2,cc,0.0,0.0,,2.76333907415334,8.34945176405931,6.9,7.70965443080465,0.10260489476200974,0,55.9880389422985,80.0000000000001,0.0280273492757686,2.76333907415334,8.47458651562495,6.9,7.70965443080465,0.11318758622900305,0,55.9880389422985,140.0,0.131833878704654,111.73412218557463,5.5861126899059705,111.73412218557463,5.71124744147161
D0305,Iac,hall,7.96642157480788,1,cc,0.902640017227347,10.6617216463869,,2.79482681133693,20.9995046862528,6.9,6.32672422378452,0.7804638018700416,0,56.9065848405786,340.0,-4.37935822747873,2.79482681133693,20.4135112236782,6.9,6.32672422609304,0.803694140670018,0,56.4905444404371,338.569092180914,-4.25199386577197,91.69165541716696,18.20467787491587,91.69165545062377,17.61868441234127
D0306,Vac,tri,29.6423287061891,1,cc,0.0,0.0,,2.75354329453251,3.80415997792702,6.9,6.9,0.22917650339400097,0,51.8574638321959,20.0,-3.40680260330116,2.75354329453251,2.71736992681864,6.9,6.9,0.08787452681997365,0,44.0134135270376,140.0,-0.128421632913922,100.0,1.05061668339451,100.0,-0.03617336771386981
D0307,Iac,pulse,-13.4359393168849,1,cc,0.0,-21.7250988745,,2.75241278754279,6.50519593267735,6.9,6.819289334654,-6.512360062855976,3,65.5313817946809,289.962491731367,6.63624531061596,2.75241278754279,6.37479631297286,6.9,6.81958061136444,-6.557141791414949,3,64.8075674435713,289.962491731367,6.8143538877058,98.8302802123768,3.75278314513456,98.8345016139774,3.62238352543007
D0308,none,,0.0,0,cc,1.03583724881672,0.0,Vac,2.79798131535187,2.78519153604751,6.9,6.9,0.001994727898988913,0,44.2791217337772,380.0,-0.0713527152152923,2.79798131535187,2.78519153604751,6.9,6.9,0.001994727898988913,0,44.2791217337772,380.0,-0.0713527152152923,100.0,-0.012789779304359872,100.0,-0.012789779304359872
D0309,Vdc,step,22.8552202404956,1,cc,0.0,0.0,Vac,2.75765570687228,2.86427780951308,6.9,6.9,-23.690007106749988,0,50.2482182132377,100.0,0.102670034825049,2.75765570687228,2.39517569907432,6.9,6.9,-7.236276080325979,0,50.9751493793166,0.0,0.178907661763823,100.0,0.10662210264080008,100.0,-0.3624800077979602
D0310,Vbat,sine,22.8866285231564,2,cc,1.08806098735464,0.0,,2.76724220852843,18.5665755999007,6.9,4.29320672645492,-0.4606714727210033,0,43.2283592751104,300.0,-8.36170028728732,2.76724220852843,3.71292991020015,6.9,5.84774242247586,-0.17809529649701972,0,48.6275494357092,300.0,-1.566370565519,62.22038733992637,15.799333391372269,84.74989018080956,0.9456877016717198
D0311,Iac,hall,4.81435191459438,1,cc,0.0,0.0,Iac,2.78555950720495,18.6061645487408,6.9,6.9,0.08049973693499624,0,57.936136051909,60.0000000000001,-4.20915293112632,2.78555950720495,18.2301486541125,6.9,6.9,0.0742914657489564,0,57.936136051909,60.0000000000001,-4.14165444988194,100.0,15.820605041535849,100.0,15.44458914690755
D0312,Vbat,step,-23.3280068718946,1,cc,0.0,0.0,,2.78960390651408,2.74484112449404,6.9,6.8999942224134,-0.11686877535402118,0,43.7355599676086,10.7911680935466,-0.107531584256953,2.78960390651408,2.77106865218585,6.9,6.88694032862416,26.93455197003101,2,58.2641713898216,180.0,-0.157329725901909,99.99991626686086,-0.044762782020039804,99.81072940035013,-0.01853525432823
D0313,Vdc,step,72.6132666992564,2,cc,0.730930327158455,0.0,Iac,4.02201698513435,2182.73482295645,5.60369119775603,0.0,-60.88684882663699,0,8.26702785674599,289.967291592464,0.228477015094478,4.02201698513435,25.4738220374273,5.60369119775603,5.1375,-1.8038339175569718,3,61.7994532058611,289.967291592464,16.6393426930927,0.0,2178.7128059713154,91.6806408257701,21.45180505229295
D0314,Vac,pulse,14.1264794442343,1,cc,0.0,0.0,Vac,2.77608720251973,3.28427165698044,6.9,6.9,0.18994566682698633,0,49.5985137213416,20.0,-2.50767979401941,2.77608720251973,2.95891000999013,6.9,6.9,0.12532105186699027,0,47.5794482423398,40.0,-1.27359320442905,100.0,0.5081844544607104,100.0,0.18282280747040014
D0315,none,,0.0,0,cc,0.0,0.0,,2.78679826898381,2.77847339275121,6.9,6.9,-0.028525795832990752,0,43.6153840355728,0.0,-0.100971021935476,2.78679826898381,2.77847339275121,6.9,6.9,-0.028525795832990752,0,43.6153840355728,0.0,-0.100971021935476,100.0,-0.00832487623259981,100.0,-0.00832487623259981
D0316,Vdc,tri,68.2867418182935,1,cc,0.0,0.0,Iac,2.77592428536784,3.30587901009989,6.9,5.32111140913344,-35.07349820624103,0,50.1336293322388,180.0,0.0777321363213689,2.77592428536784,3.01093249088669,6.9,6.66026516796297,-14.295606763387013,0,61.7458846477574,120.0,0.102339461643535,77.11755665410782,0.52995472473205,96.52558214439085,0.23500820551885004
D0317,Vbat,step,8.88732987411275,2,cc,0.0,0.0,,2.79745010358322,3.95112400867119,6.9,4.42051362491129,1.5663579980350164,0,43.547895991859,103.763144526431,1.92838946102888,2.79745010358322,2.78003242524623,6.9,6.05078479267818,-0.27630651918696003,0,55.960581522156,20.0,1.27814964710027,64.06541485378682,1.1536739050879699,87.69253322722,-0.01741767833699015
