test_id,group,trip,t_trip_ms,power_retention_pct,dVdc_real_V,thd_rise_pp,I_dc_A,t_rec_ms,I_peak_A,PF_dur
E-AC-01a,MPCC_R,0,,100.0,0.015145130190035161,-0.17723285845892978,-0.115413852050913,20.0,43.7693119374803,0.999996428569104
E-AC-01b,MPCC_R,0,,100.0,0.031537801218007644,-0.1466967774768202,-0.122395818184798,20.0,43.9733368371814,0.999996526903137
E-AC-01b,MPCC_R_m2,0,,100.0,-0.2294875407769723,4.97045328836368,-8.00805941075501,60.0000000000001,53.9535229100109,0.999981465830979
E-AC-01b,MPCC_R_m8,0,,100.0,0.04749159799399649,-0.29690488397422987,-0.0800516143471718,20.0,43.8447390016951,0.999992941960207
E-AC-02b,MPCC_R,0,,100.0,-0.15050654741298786,1.71247811738965,-5.39811642620833,0.0,49.9639090284787,0.999996696767683
E-AC-02b,MPCC_R_m3,3,115.22,82.5570089217858,-1.9198979464449621,8.87827380383537,-9.41422754096966,160.0,112.35300809381,0.968306760759661
E-AC-02h,MPCC_R,0,,100.0,0.07950223903100095,18.50897383931097,-2.49550827862348,100.0,49.563418550938,0.999964856336345
E-AC-02h,MPCC_R_m4,0,,100.0,0.08233103003703945,18.75700244789237,-2.65834649434947,20.0,49.784585686422,0.999967322268214
E-AC-02s,MPCC_R,0,,100.0,-0.021330191789957098,0.36295612164441016,0.00562525751994,22.47,43.9374144400828,0.985102740014097
E-BAT-01b,MPCC_R,0,,74.4563725929038,-0.056168112330965414,0.27979395429546994,-0.0377245012997736,140.0,33.1097821267352,0.999959057587985
E-BAT-01b,MPCC_R_m6,0,,64.7446696776026,4.976600664577006,0.059913405636240036,0.139449689137685,140.0,60.7727187330184,0.8606942091683
E-BAT-01n,MPCC_R,5,0.400000000000067,125.905797101449,0.055597766139044325,-0.2537336196985298,-0.10192221298157,100.0,55.2987497696894,0.999999669339678
E-BAT-02b,MPCC_R,0,,99.9959657178027,-1.347245059341958,-0.020124009879070037,0.199238638718146,0.0,60.0113927743588,0.999953116606895
E-BAT-02b,MPCC_R_m5,0,,49.2754567544031,-1.0338847775580007,0.7899482737177701,0.193029848310048,180.0,29.8206344832191,0.999814200341832
E-BAT-02c,MPCC_R,3,116.43,100.000232833377,-1.0821415578319602,-0.030430142465439847,-0.026619177133805,0.0,51.6810952574325,0.999961339312576
E-BAT-02c,MPCC_R_m7,2,130.62,37.2534025260214,11.691318433641015,3.7366642130710996,0.851454604033272,220.0,48.4999403795954,0.881793007458624
E-DC-01b,MPCC_R,0,,100.0,0.12108552088699298,0.45159036349136983,-0.169345564724936,80.0000000000001,45.7529998534423,0.999988242922251
E-DC-01b,MPCC_R_m0,0,,63.8421699906757,-49.998033972738995,1.1170225528041202,-0.0469101876567995,180.0,27.4388435812342,0.999397054253049
E-DC-01c,MPCC_R,0,,100.0,-0.47207859230695703,0.83791053610293,0.0625364055407815,140.0,49.8931851762559,0.999981562185199
E-DC-01c,MPCC_R_m0,0,,0.0,-63.86191194403898,462.35308739306896,0.0001936604929686,200.0,1.06789266603282,0.267967367314054
E-DC-02b,MPCC_R,2,40.6900000000001,100.0,-0.05326055829897314,-0.6932223054720899,0.152572333338758,140.0,51.9389138001469,0.999983638887392
E-DC-02b,MPCC_R_m1,2,40.6900000000001,89.4309727249983,84.81483278829404,-0.6953907981351701,0.31797533624047,289.99,79.5509550747034,0.982310597759601
E-MUL-01,MPCC_R,3,75.3400000000001,100.0,-0.12601593165800296,2.5037577340731696,-5.5768580918636,100.0,51.911880686753,0.99999604525783
E-MUL-01,MPCC_R_m7,3,75.3400000000001,100.0,-0.12601593165800296,2.5037577340731696,-5.5768580918636,100.0,51.911880686753,0.99999604525783
