group,cases,trips,power_retention_mean,dVdc_abs_mean,thd_rise_mean,t_rec_mean_ms,I_peak_max
MPCC_R,13,4,100.0275667881179,0.2778165391105264,1.7950785348351606,66.34384615384616,60.0113927743588
MPCC_R_m0,2,0,31.92108499533785,56.92997295838899,231.73505497293655,190.0,27.4388435812342
MPCC_R_m1,1,1,89.4309727249983,84.81483278829404,-0.6953907981351701,289.99,79.5509550747034
MPCC_R_m2,1,0,100.0,0.2294875407769723,4.97045328836368,60.0000000000001,53.9535229100109
MPCC_R_m3,1,1,82.5570089217858,1.9198979464449621,8.87827380383537,160.0,112.35300809381
MPCC_R_m4,1,0,100.0,0.08233103003703945,18.75700244789237,20.0,49.784585686422
MPCC_R_m5,1,0,49.2754567544031,1.0338847775580007,0.7899482737177701,180.0,29.8206344832191
MPCC_R_m6,1,0,64.7446696776026,4.976600664577006,0.059913405636240036,140.0,60.7727187330184
MPCC_R_m7,2,2,68.6267012630107,5.908667182649509,3.1202109735721346,160.0,51.911880686753
MPCC_R_m8,1,0,100.0,0.04749159799399649,-0.29690488397422987,20.0,43.8447390016951
