t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,amp_1,amp_2,amp_3,amp_4,amp_5,mit_1,mit_2,mit_3,mit_4,mit_5,mit_6
0.6,-0.148052376514906,332.013020248284,-0.000445923405064628,0.0320546901567476,29.5379897031661,43.6942614378087,-43.5705332757069,0.12372816210182,0.000966412718338734,0.0565362735516841,41.6965579083422,0.998899496035808,0.144145139982438,0.000768761062416964,0.00903103534037708,400.037776260101,22.29650849133,0.0377762601012819,46.6888350259728,43.5903543926258,49.8986397355266,0,0.51699852586422,0.0469689643692121,345,20,0.862747752045964,0,20,0,0,6919.95719925114,6900,0.997115993831103,0.000381716527155129,-0.131692201868532,0.288766532769614,0.145511197426266,0.0431623665781373,0.0748137708293566,0,0,-0.00207180149488251,0.12522057962147,0.0113404138377754,-2.17903473942442,0.0002386776453569,0,-7.15008544921875,-7.03802490234375,-4.71826171875,-10.6626586914062,-10.3555297851562,0,0,0,0,0,0,0,0,0,0,0.52703857421875,-0.43817138671875,0.506683349609375,-0.1142578125,-0.341796875,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,333.748159486924,0,0
0.62,0.0796131474683085,331.661081070833,0.000240043683181824,-0.00241229304996079,29.4418326360754,43.4169494784594,-43.4721464293816,-0.0551969509221664,0.000424715087722432,0.0572590567397926,41.5597823011828,0.998881179106252,0.144597100059132,-5.80439289233749e-05,0.0077277815205985,400.047313255129,22.1244989200081,0.0473132551286994,46.5429928913881,43.510682348057,49.6939256443467,0,0.517757786223452,0.0468047495920603,345,20,0.862723578145008,0,20,0,0,6890.23104971975,6900,1.00141779719864,0.000377534836990323,-0.130249518761673,0.00953699502741756,-0.145842134584711,-0.0961570670906617,-0.0344669832067084,0,0,0.0043018033675335,0.0736822759540225,0.00670952047025933,0.546727409774709,0.000452669278077966,0,-8.205810546875,-7.0015869140625,-6.04754638671875,-12.6467895507812,-10.8495483398438,0,0,0,0,0,0,0,0,0,0,-0.06085205078125,-0.4774169921875,0.505706787109375,-0.2333984375,-0.47509765625,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,331.726330086352,0,0
0.64,-0.0479166419623013,331.792220680845,-0.000144417617338873,-0.0183687771229607,29.5206778811868,43.5257083045978,-43.7729644772105,-0.247256172612659,0.00146858266520879,0.0570855555058447,41.6708469184616,0.998874772533823,0.144559895294596,-0.000440806426586513,0.0100917544439567,399.905560975621,22.1923559863133,-0.0944390243790281,46.6487605530692,43.5364314131567,49.8621272371909,0,0.517577594577058,0.0470713768210994,345,20,0.863032592580934,0,20,0,0,6911.04089970806,6900,0.998402425934343,0.000381255293689486,-0.13153307632291,-0.141752279507728,0.105767661681078,0.0788452451113919,-0.0159564840729999,0,0,-0.00301537126429341,0.0254675241488807,0.00230841102885946,2.28168117902084,3.02178876206982e-05,0,-8.1259765625,-8.1717529296875,-5.92095947265625,-12.8964233398438,-10.0150146484375,0,0,0,0,0,0,0,0,0,0,0.03173828125,-0.48089599609375,0.377410888671875,-0.3262939453125,-0.2054443359375,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,332.794251177053,0,0
0.66,-0.0042855237002415,331.632991484748,-1.29224890474704e-05,-0.0130325357208696,29.5507810229627,43.6878383594034,-43.6489022174693,0.0389361419341228,0.00102288159676242,0.0570226216794357,41.7132644883658,0.998851020875356,0.144007839947342,-0.000312431450300528,0.00909355403748302,400.027843659902,22.2401866645418,0.0278436599019756,46.6789537006993,43.6088319603431,49.8548199911469,0,0.517971377873812,0.0471753576071946,345,20,0.862769071900387,0,20,0,0,6914.78353750712,6900,0.997862039002822,0.000381598286280482,-0.131651408766743,0.122282684281004,0.0301931476300652,0.0301031417758324,0.00533624140209103,0,0,-0.000540386931521142,0.0364220223092967,0.00329884644663124,-2.80831023832518,0.010308103848813,0,-7.536865234375,-7.92730712890625,-4.781494140625,-10.37109375,-10.5787353515625,0,0,0,0,0,0,0,0,0,0,0.6185302734375,-0.41558837890625,0.391021728515625,-0.02056884765625,-0.3089599609375,0,0,0,0,0,0,0.1,0,-0,0,-0,-0,0,0,1,333.309059255602,0,0
0.68,0.0732768685838532,331.479237871312,0.00022106020592548,0.0219332847024553,29.4646067512078,43.4834244347834,-43.5740530133073,-0.0906285785239263,0.000566337639565141,0.0563021727218927,41.5943901892038,0.998920710706564,0.141694416324142,0.00052731352960545,0.00825764239961924,400.133115018179,22.0932349964342,0.133115018178842,46.4744348182865,43.4352769527003,49.6638921631744,0,0.517377415533288,0.0457818328524134,345,20,0.862537940848065,0,20,0,0,6892.37432671854,6900,1.00110639279296,0.000376791573628354,-0.129993092901771,0.105271358276866,-0.204518882412742,-0.0861742717548886,0.034965820423325,0,0,0.00324435379013743,0.0674222175285529,0.00614410192332741,0.00711741544595812,0.000329236700496893,0,-8.36468505859375,-7.0211181640625,-5.9632568359375,-12.5744018554688,-11.14111328125,0,0,0,0,0,0,0,0,0,0,-0.03509521484375,-0.49884033203125,0.500518798828125,-0.23211669921875,-0.56524658203125,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.108009398906,0,0
0.7,-0.0745491943774663,331.641011506345,-0.000224788828253951,-0.0146127350382619,29.494217284104,43.4317098315275,-43.5618442746398,-0.130134443112283,0.00118135498932856,0.0565089339919275,41.6354875472375,0.998914436466101,0.141712475763307,-0.000350968270076891,0.00831098226083604,399.914997388033,22.1036714649182,-0.0850026119668428,46.4947426762823,43.3974858338581,49.6960098001202,0,0.516711866993863,0.0461215728160003,345,20,0.863010244504205,0,20,0,0,6902.1977232255,6900,0.999681590804316,0.000378955584768415,-0.130739676745065,-0.218117630145684,0.0203078579957747,0.0296105328962497,-0.0365460197407172,0,0,-0.00142480198864348,0.0497836872309593,0.00452609461729835,1.11542200297792,-9.52453186781055e-05,0,-8.17578125,-7.51080322265625,-6.10638427734375,-12.678466796875,-10.6158447265625,0,0,0,0,0,0,0,0,0,0,-0.0718994140625,-0.48223876953125,0.429107666015625,-0.23406982421875,-0.3975830078125,0,0,0,0,0,0,0.1,-0,-0,0,-0,-0,0,0,1,333.690201335942,0,0
0.72,0.056217996712916,331.304406456971,0.00016968683668932,1.32651204948942,27.0948143315724,42.9041260366654,-37.9042057393923,4.99992029727311,0.0376340297033333,0.0543494042302255,38.1544419203765,0.998420303313316,0.16512235098328,0.0347669100299694,0.0321348611863161,403.601489702002,27.5245047720305,3.60148970200203,43.649388468948,36.4261239764853,49.5201942769745,0,0.520599446206996,0.0445629544500227,345,20,0.855193954638556,0,20,0,0,6315.23043860451,6900,1.0925967099824,0.000456678481935535,-0.157554076267729,3.68649231396887,-2.84535420733434,-2.39940295253159,1.34112478452769,0,0,0.0929151191780843,3.51080868818571,0.302470633659241,-2.04080550814839,-0.00266901115842133,0,-5.07958984375,-2.3001708984375,1.72161865234375,-6.4075927734375,-4.16998291015625,0,0,0,0,0,0,0,0,0,0,0.5035400390625,-0.06439208984375,0.245208740234375,-0.15997314453125,0.2164306640625,0,0,0,0,0,0,0.1,0,-0,0,-0,0,0,0,1,332.096360057501,0,0
0.74,-0.0189204359899328,331.450114880704,-5.70838118331705e-05,-0.328691688114707,23.6078853771728,34.6834080764546,-35.8542187195952,-1.17081064314063,0.0121826645688125,0.0576684173355953,33.2914831950229,0.998053496429144,0.180979212471751,-0.00987314641973795,0.0311699979577238,401.130486343104,27.8371076997189,1.1304863431036,38.0524643393487,34.6499387543053,41.2993949626707,0,0.514267904290557,0.0425380524168904,345,20,0.860386480397102,0,20,0,0,5512.21922103328,6900,1.25176443884367,0.000368832825276666,-0.127247324720486,-2.47100335889843,-5.59692412959932,-3.4869289543996,-1.65520373760413,0,0,0.159167728861266,3.22805509021144,0.3146192842541,0.71091077687224,0.00483601741473183,0,-4.1273193359375,-3.926025390625,0.06622314453125,-6.32708740234375,-1.9117431640625,0,0,0,0,0,0,0,0,0,0,0.430908203125,-0.197509765625,0.132781982421875,-0.364501953125,0.416015625,0,0,1,0,0,0,0.1,0,-0,0.132781982421875,-0,0,0,0,1,337.872445434193,0,0
0.76,0.00134535335093886,331.396501771772,4.05964861954212e-06,-0.337233526705254,26.5296771997913,38.9450662810914,-40.2919324426966,-1.34686616160513,0.0150399492426854,0.0615239963476599,37.409138967093,0.998392318542952,0.165252205350456,-0.0090147363990896,0.0265942298140107,397.354117509608,26.2957941472332,-2.6458824903923,41.9858134499987,36.6824327781609,46.3987927850022,0,0.511465899122874,0.0442946866769871,345,20,0.868621399161935,0,20,0,0,6194.50638670374,6900,1.11389020678235,0.000435621779569351,-0.150289513951407,-3.77636883349589,3.93334911065001,2.92179182261848,-0.00854183859054775,0,0,-0.137874232061319,1.17045952283752,0.100617596196393,-2.98970515927305,-0.00304223257129954,0,-5.22698974609375,-4.6949462890625,0.106201171875,-6.72021484375,-4.6949462890625,0,0,0,0,0,0,0,0,0,0,0.5543212890625,-0.11956787109375,0.224639892578125,0.0059814453125,0.15277099609375,0,0,1,0,0,0,0.1,0,-0,0.224639892578125,0,0,0,0,1,337.277097264313,0,0
0.78,0.048434976222115,331.212674128308,0.000146235274207387,0.452168622157192,25.8662426012526,39.4201941965493,-37.6801934715811,1.74000072496821,0.014346760429286,0.054208204819522,36.4847346610017,0.998339111603869,0.169379279886138,0.0123933646868621,0.0298735709810041,401.560448483148,23.5582325543348,1.56044848314849,41.552064369408,37.2415318675719,45.6507184846148,0,0.516999238763277,0.043734522901925,345,20,0.859480841979349,0,20,0,0,6036.96379055764,6900,1.14295865262472,0.000386992370729144,-0.133512367901517,4.20633097354079,-0.433749080590658,-0.663434598538771,0.789402148862447,0,0,0.029068445842376,0.927403178772933,0.0834090236649755,-1.82957012159858,-0.000198763746246722,0,-5.3580322265625,-4.3359375,-0.079833984375,-6.59442138671875,-3.3919677734375,0,0,0,0,0,0,0,0,0,0,0.4915771484375,0.01080322265625,0.335845947265625,0.12176513671875,0.16583251953125,0,0,1,0,0,0,0.1,0,0,0.335845947265625,0,0,0,0,1,337.41110367885,0,0
