test_id,group,trip,t_trip_ms,power_retention_pct,dVdc_real_V,thd_rise_pp,I_dc_A,t_rec_ms,I_peak_A,PF_dur
E-AC-01a,MPCC_D_H1,0,,100.0,-0.12303806916395388,1.4164628993815498,-4.010464771,40.0,48.6787366172975,0.999989123423078
E-AC-01a,MPCC_R,0,,100.0,0.015145130190035161,-0.17723285845892978,-0.115413852050913,20.0,43.7693119374803,0.999996428569104
E-AC-01a,MPCC_R_ON,0,,100.00000572794,-0.04281199012200432,0.05805607990621997,0.0082433648337757,280.0,43.4699215037349,0.99997985873604
E-AC-01b,MPCC_D_H1,0,,100.0,-0.24680465590898848,4.9616894012904,-7.98562416925383,60.0000000000001,53.7122722549368,0.999984147810505
E-AC-01b,MPCC_R_OFF,0,,100.0,-0.24680465590898848,4.9616894012904,-7.98562416925383,60.0000000000001,53.7122722549368,0.999984147810505
E-AC-01b,MPCC_R,0,,100.0,0.031537801218007644,-0.1466967774768202,-0.122395818184798,20.0,43.9733368371814,0.999996526903137
E-AC-01b,MPCC_R_ON,0,,100.000004839818,-0.03598493826103777,0.05631328345146969,0.0123368560200915,280.0,43.4512256695316,0.999980466587164
E-AC-02b,MPCC_D_H1,0,,100.0,-0.15308628240700273,1.9538966161953004,-5.48396149349422,40.0,50.2723617477292,0.999999786844098
E-AC-02b,MPCC_R,0,,100.0,-0.15050654741298786,1.71247811738965,-5.39811642620833,0.0,49.9639090284787,0.999996696767683
E-AC-02b,MPCC_R_ON,0,,100.000202578172,-0.18516772656602143,2.2507379253284903,-5.39075745963727,280.0,49.8472184888167,0.999994449113076
E-AC-02h,MPCC_D_H1,0,,100.0,0.08233103003703945,18.75700244789237,-2.65834649434947,20.0,49.784585686422,0.999967322268214
E-AC-02h,MPCC_R,0,,100.0,0.07950223903100095,18.50897383931097,-2.49550827862348,100.0,49.563418550938,0.999964856336345
E-AC-02h,MPCC_R_ON,0,,99.9999100053372,0.04065581656800532,19.47476693912724,-2.64143475225504,280.0,49.7498913383763,0.999997849860085
E-AC-02s,MPCC_D_H1,0,,100.0,-0.026885331840958315,0.8699045986737999,-0.0161891132006167,80.0000000000001,44.5527181713896,0.985180147813256
E-AC-02s,MPCC_R,0,,100.0,-0.021330191789957098,0.36295612164441016,0.00562525751994,22.47,43.9374144400828,0.985102740014097
E-AC-02s,MPCC_R_ON,0,,100.000008837071,-0.0501146427650383,1.0143039693079796,0.0170923650100133,280.0,44.3129444045725,0.98507922975194
E-BAT-01b,MPCC_D_H1,0,,74.4565217391304,-0.05150290575699046,0.26990702416485,-0.0317757127450726,80.0000000000001,33.1556424336369,0.999960830614922
E-BAT-01b,MPCC_R,0,,74.4563725929038,-0.056168112330965414,0.27979395429546994,-0.0377245012997736,140.0,33.1097821267352,0.999959057587985
E-BAT-01b,MPCC_R_ON,0,,74.4565355081892,-0.08254319540299093,-0.1139607126177602,0.0179138365925858,280.0,32.6748175377347,0.999942960899978
E-BAT-01n,MPCC_D_H1,5,0.400000000000067,125.905797101449,0.055597766139044325,-0.2537336196985298,-0.10192221298157,100.0,55.2987497696894,0.999999669339678
E-BAT-01n,MPCC_R,5,0.400000000000067,125.905797101449,0.055597766139044325,-0.2537336196985298,-0.10192221298157,100.0,55.2987497696894,0.999999669339678
E-BAT-01n,MPCC_R_ON,5,0.330000000000052,125.905792054659,0.020602928843970858,0.20164723289525988,0.003613596125779,280.0,54.7205962039757,0.999995010998686
E-BAT-02b,MPCC_D_H1,0,,49.2752358559396,-0.15858466164598894,0.7264464375442099,-0.0044280140397148,160.0,22.9150326889616,0.999849667439148
