test_id,variant,channels,amp,latency_cycles,coverage,wrong_channel_frac,fa_pre,n_pre,fa_post,n_post,cleared,cycles_inj,onnx_parity,off_latency_cycles,off_coverage,off_fa_pre,off_fa_post,off_cleared,common_cycles,sim_vs_off_diff
E-AC-02s,MPCC_D_H1,Iac,10.0,2.0,1.0,0.0,0,4,0,12,True,14,4.973799150320701e-14,2.0,1.0,0,0,True,35,0
E-AC-02s,MPCC_R,Iac,10.0,2.0,1.0,0.0,0,4,0,12,True,14,4.973799150320701e-14,2.0,1.0,0,0,True,35,0
E-AC-02s,MPCC_R_ON,Iac,10.0,2.0,1.0,0.07142857142857142,0,4,0,12,True,14,4.973799150320701e-14,2.0,1.0,0,0,True,35,0
E-AC-02h,CRPR,Iac,4.0,2.0,1.0,0.0,0,4,0,12,True,14,4.973799150320701e-14,2.0,1.0,0,0,True,35,0
E-AC-02h,MPCC_P,Iac,4.0,2.0,1.0,0.0,0,4,0,12,True,14,4.973799150320701e-14,2.0,1.0,0,0,True,35,0
E-AC-02h,MPCC_D,Iac,4.0,2.0,1.0,0.0,0,4,0,12,True,14,4.973799150320701e-14,2.0,1.0,0,0,True,35,0
E-AC-02h,MPCC_D_H1,Iac,4.0,2.0,1.0,0.0,0,4,0,12,True,14,4.973799150320701e-14,2.0,1.0,0,0,True,35,0
E-AC-02h,MPCC_R,Iac,4.0,2.0,1.0,0.0,0,4,0,12,True,14,4.973799150320701e-14,2.0,1.0,0,0,True,35,0
E-AC-02h,MPCC_R_ON,Iac,4.0,2.0,1.0,0.0,0,4,0,12,True,14,4.973799150320701e-14,2.0,1.0,0,0,True,35,0
E-MUL-01,CRPR,Vdc+Iac,50.0,inf,0.0,0.8571428571428571,0,4,0,12,True,14,4.973799150320701e-14,inf,0.0,0,0,True,35,0
E-MUL-01,MPCC_P,Vdc+Iac,50.0,inf,0.0,1.0,0,4,0,12,True,14,0.0,inf,0.0,0,0,True,35,0
E-MUL-01,MPCC_D,Vdc+Iac,50.0,inf,0.0,1.0,0,4,0,12,True,14,4.973799150320701e-14,inf,0.0,0,0,True,35,0
E-MUL-01,MPCC_D_H1,Vdc+Iac,50.0,inf,0.0,1.0,0,4,0,12,True,14,4.973799150320701e-14,inf,0.0,0,0,True,35,0
E-MUL-01,MPCC_R,Vdc+Iac,50.0,inf,0.0,0.14285714285714285,0,4,0,12,True,14,4.973799150320701e-14,inf,0.0,0,0,True,35,0
E-MUL-01,MPCC_R_ON,Vdc+Iac,50.0,inf,0.0,0.0,0,4,0,12,True,14,4.973799150320701e-14,inf,0.0,0,0,True,35,0
E-BAT-01b,CRPR,Ibat,5.0,2.0,1.0,0.0,0,4,0,12,True,14,4.973799150320701e-14,2.0,1.0,0,0,True,35,0
E-BAT-01b,MPCC_P,Ibat,5.0,2.0,1.0,0.2857142857142857,0,4,0,12,True,14,4.973799150320701e-14,2.0,1.0,0,0,True,35,0
E-BAT-01b,MPCC_D,Ibat,5.0,2.0,1.0,0.2857142857142857,0,4,0,12,True,14,4.973799150320701e-14,2.0,1.0,0,0,True,35,0
E-BAT-01b,MPCC_D_H1,Ibat,5.0,2.0,1.0,0.21428571428571427,0,4,0,12,True,14,4.973799150320701e-14,2.0,1.0,0,0,True,35,0
E-BAT-01b,MPCC_R,Ibat,5.0,2.0,1.0,0.2857142857142857,0,4,0,12,True,14,4.973799150320701e-14,2.0,1.0,0,0,True,35,0
E-BAT-01b,MPCC_R_ON,Ibat,5.0,2.0,1.0,0.07142857142857142,0,4,0,12,True,14,4.973799150320701e-14,2.0,1.0,0,0,True,35,0
E-BAT-02b,CRPR,Vbat,10.0,4.0,0.8571428571428571,0.9285714285714286,0,4,0,12,True,14,4.973799150320701e-14,4.0,0.8571428571428571,0,0,True,35,1
E-BAT-02b,MPCC_P,Vbat,10.0,4.0,0.7857142857142857,1.0,0,4,0,12,True,14,0.0,4.0,0.8571428571428571,0,0,True,35,6
E-BAT-02b,MPCC_D,Vbat,10.0,2.0,0.6428571428571429,0.9285714285714286,0,4,1,12,False,14,4.973799150320701e-14,2.0,0.6428571428571429,0,2,False,35,1
E-BAT-02b,MPCC_D_H1,Vbat,10.0,6.0,0.2857142857142857,0.9285714285714286,0,4,1,12,False,14,4.973799150320701e-14,6.0,0.2857142857142857,0,1,False,35,0
E-BAT-02b,MPCC_R,Vbat,10.0,6.0,0.7142857142857143,0.5,0,4,0,12,True,14,4.973799150320701e-14,6.0,0.7142857142857143,0,0,True,35,0
E-BAT-02b,MPCC_R_ON,Vbat,10.0,2.0,1.0,0.0,0,4,0,12,True,14,4.973799150320701e-14,2.0,1.0,0,0,True,35,0
E-BAT-02c,CRPR,Vbat,20.0,2.0,1.0,0.9285714285714286,0,4,0,12,True,14,4.973799150320701e-14,2.0,1.0,0,0,True,35,0
E-BAT-02c,MPCC_P,Vbat,20.0,2.0,1.0,0.07142857142857142,0,4,0,12,True,14,0.0,2.0,1.0,0,0,True,35,0
E-BAT-02c,MPCC_D,Vbat,20.0,2.0,1.0,0.14285714285714285,0,4,2,12,False,14,4.973799150320701e-14,2.0,1.0,0,2,False,35,0
E-BAT-02c,MPCC_D_H1,Vbat,20.0,2.0,1.0,0.14285714285714285,0,4,2,12,False,14,4.973799150320701e-14,2.0,1.0,0,2,False,35,0
E-BAT-02c,MPCC_R,Vbat,20.0,2.0,1.0,0.0,0,4,0,12,True,14,4.973799150320701e-14,2.0,1.0,0,0,True,35,0
E-BAT-02c,MPCC_R_ON,Vbat,20.0,2.0,1.0,0.0,0,4,1,12,False,14,4.973799150320701e-14,2.0,1.0,0,1,False,35,0
E-BAT-01n,CRPR,Ibat,-5.0,2.0,1.0,0.0,0,4,0,12,True,14,4.973799150320701e-14,2.0,1.0,0,0,True,35,0
E-BAT-01n,MPCC_P,Ibat,-5.0,2.0,1.0,0.21428571428571427,0,4,0,12,True,14,0.0,2.0,1.0,0,0,True,35,0
E-BAT-01n,MPCC_D,Ibat,-5.0,2.0,1.0,0.07142857142857142,0,4,0,12,True,14,4.973799150320701e-14,2.0,1.0,0,0,True,35,0
E-BAT-01n,MPCC_D_H1,Ibat,-5.0,2.0,1.0,0.0,0,4,0,12,True,14,4.973799150320701e-14,2.0,1.0,0,0,True,35,0
E-BAT-01n,MPCC_R,Ibat,-5.0,2.0,1.0,0.0,0,4,0,12,True,14,4.973799150320701e-14,2.0,1.0,0,0,True,35,0
E-BAT-01n,MPCC_R_ON,Ibat,-5.0,2.0,1.0,0.0,0,4,0,12,True,14,4.973799150320701e-14,2.0,1.0,0,0,True,35,0
