test_id,VARIANT_NAME,THD50_pre_pct,THD50_dur_pct,THD50_post_pct,THD_full_dur_pct,PF_dur,t_rec_ms,trip,I_peak_A,P_charge_dur_kW
E-BAT-01n,MPCC_D_F1,2.74181757272498,2.53191098851927,2.80875690600775,2.85567545194829,0.999994657954317,100.0,5,55.3869099732533,8.6875
E-BAT-01n,MPCC_D_F10,2.76656486912371,2.48732782543106,2.83605277009309,2.76546959690809,0.999996215564994,80.0000000000001,5,55.0682888103314,8.6875
E-BAT-01n,MPCC_D_H1,3.01169929954194,2.78267955560645,3.12109505698098,3.10604640053602,0.999996920670682,100.0,5,55.970866413631,8.6875
E-BAT-01n,MPCC_D_M1,3.2245997303564,2.92527493319775,3.30375137387167,3.30765660581901,0.99999751244885,100.0,5,56.7971075299772,8.6875
E-BAT-01n,MPCC_D_R,2.7759962510072,2.54568938826664,2.82328372753826,2.79877090968856,0.999994523423782,100.0,5,55.081838766854,8.6875
E-BAT-02b,MPCC_D,5.48114381479756,6.75891801314194,5.47888760526373,7.51710661313886,0.999760441756128,100.9,0,23.1221369641796,3.39999377531864
E-BAT-02b,MPCC_D_F1,2.74181757272498,3.36467531176738,2.80420329846161,5.54876113870098,0.999790193346593,160.0,0,23.2838656755733,3.3999908962814
E-BAT-02b,MPCC_D_F10,2.76656486912371,3.53079023876059,2.75491543677427,4.88292615500943,0.99976264494882,140.0,0,22.5872202447693,3.39999351682329
E-BAT-02b,MPCC_D_H1,3.01169929954194,3.71196523897038,3.07650105921945,6.42859144867728,0.99978852592742,160.0,0,24.0782695467411,3.39998694574284
E-BAT-02b,MPCC_D_M1,3.2245997303564,3.97426315254556,3.24759045612591,6.82293278310344,0.99978665965272,180.0,0,24.5295152678519,3.39998642229674
E-BAT-02b,MPCC_D_R,2.7759962510072,3.37537427492447,2.81574885764318,4.4610229775987,0.999810278636973,100.0,0,22.3232487197064,3.39999803710374
E-BAT-02c,MPCC_D,5.48114381479756,480.640062058156,5.50167200184513,2126.87924633264,0.109253104516492,160.0,0,1.06484092985002,0.0
E-BAT-02c,MPCC_D_F1,2.74181757272498,481.011810090894,2.82804594259645,2124.87339476354,0.108185485158095,220.0,3,1.06907539310458,0.0
E-BAT-02c,MPCC_D_F10,2.76656486912371,480.2517279213,2.49918336556958,2131.99327958261,0.110804786369765,160.0,0,1.07122076327304,0.0
E-BAT-02c,MPCC_D_H1,3.01169929954194,481.076588315948,3.09850150467453,2124.79180336948,0.108308132614998,220.0,0,1.06922893242278,0.0
E-BAT-02c,MPCC_D_M1,3.2245997303564,481.024254001314,3.25720398769327,2128.88679584424,0.108748858292024,220.0,0,1.06854172992479,0.0
E-BAT-02c,MPCC_D_R,2.7759962510072,480.914304584049,2.83330100832028,2129.27102312671,0.110457469429118,160.0,3,1.06943604031766,0.0
E-DC-01b,MPCC_D,5.48114381479756,6.92760735461516,5.4780803890578,7.15308630217175,0.999140378462512,120.0,0,27.9549403844056,4.37406041119525
E-DC-01b,MPCC_D_F1,2.74181757272498,3.70551889855979,2.80085157002968,4.10926343422619,0.999277988234552,180.0,0,27.4203914815157,4.40301741381848
E-DC-01b,MPCC_D_F10,2.76656486912371,3.69078531444936,2.79795104116382,4.11905650306408,0.999247956846063,120.0,0,27.4752783323776,4.39972757272979
E-DC-01b,MPCC_D_H1,3.01169929954194,4.07515757338756,3.06603905201959,4.45814655240823,0.999269227044525,180.0,0,27.8430951732534,4.40004100182038
