test_id,VARIANT_NAME,priority,channel,shape,amp,k,f,phase,channel2,amp2,t_on,dwell,e_meas_Vdc,e_meas_Vac,e_meas_Iac,e_meas_Vbat,e_meas_Ibat,dVdc_V,Vdc_pre_V,Vdc_dur_V,Vdc_post_V,Vdc_over_on_V,Vdc_under_on_V,Vdc_over_off_V,Vdc_under_off_V,e_I_rms_A,I_dc_A,I_peak_A,I_peak_on_A,I2_pre_pct,I2_dur_pct,THD50_pre_pct,THD50_dur_pct,THD50_post_pct,THD_full_pre_pct,THD_full_dur_pct,THD_full_post_pct,PF_pre,PF_dur,PF_post,Pac_dur_kW,Pdc_dur_kW,P_charge_pre_kW,P_charge_dur_kW,P_charge_post_kW,power_retention_pct,Ibat_dur_A,Vbat_dur_V,Iref_pre_A,Iref_dur_A,D_dcdc_dur,state_dur,state_post,t_switch_ms,trip,t_trip_ms,t_settle_ms,t_rec_Vdc_ms,t_rec_P_ms,t_rec_THD_ms,t_rec_ms,sim_wall_s,status
E-AC-01a,CRPR,P1,Vac,step,17,0,50,0,,0,0.7,0.3,0,17,0.000789012321751397,0,0,-0.00684843868458529,399.993860685847,399.993151561315,400.008048064868,11.266248740966,-11.815633008269,11.252480053656,-11.801128743681,5.95575830220788,0.00633300198347383,45.5245780637126,45.5021741757535,0.0427915347267719,0.0433312767507637,11.5842591047519,11.5655553472077,11.5909012643245,11.6706662581573,11.657277471622,11.6778184911094,0.999527546839528,0.999547541594251,0.999567297574903,7.02007773873782,6.90305490083221,6.9,6.9,6.9,100,20,345,48.9299589628863,49.053112444582,0.862866842047887,0,0,NaN,0,NaN,0,0,0,0,0,926.9377034,OK
E-AC-01a,MPCC_D,P1,Vac,step,17,0,50,0,,0,0.7,0.3,0,17,0.000871817357140284,0,0,-0.124473314406941,400.006707696301,399.875526685593,400.00063172987,15.907111337055,-15.934675984821,13.775406557636,-13.160862799095,5.06507430737864,-3.96866029917229,49.6827564091135,51.5186574825335,0.0738146658426878,3.15934047912297,5.48114381479756,6.19494302415777,5.49877005955446,5.65004463089252,6.37153558204643,5.66738902642304,0.999960497130096,0.999972174451465,0.999970344942372,7.01945172964868,6.90305286861599,6.9,6.9,6.9,100,20,345,46.5664698091187,46.623033248372,0.863157263406122,0,0,NaN,0,NaN,0,0,0,0,0,899.9068614,OK
E-AC-01a,MPCC_D_F1,P1,Vac,step,17,0,50,0,,0,0.7,0.3,0,17,0.000882326467017451,0,0,-0.132121349477075,399.98883835478,399.867878650523,400.010111736641,15.755999780616,-15.897028847557,13.738007372819,-13.245810395536,5.05552512657642,-3.99765568628157,48.6786759494584,50.6112248903679,0.0783338151353294,3.05906957216904,2.74181757272498,4.29040316825429,2.8081338897066,3.08075790708217,4.54662755462427,3.13312512161974,0.999974122937831,0.999987481040004,0.999981811223488,7.01869313018214,6.90305136164557,6.9,6.9,6.9,100,20,345,46.5631314343096,46.6325132236853,0.863158458113924,0,0,NaN,0,NaN,0,0,0,40,40,904.5446988,OK
E-AC-01a,MPCC_D_F10,P1,Vac,step,17,0,50,0,,0,0.7,0.3,0,17,0.000825155112713394,0,0,-0.123407052793652,400.002007910156,399.876592947206,400.003313937125,15.756619343506,-15.628575795934,13.710957417147,-12.861896766721,5.0607497219272,-4.00211663939856,48.6705259676942,50.3887216472028,0.0533334129772383,3.05739073591687,2.76656486912371,4.28973138754608,2.81810856104999,3.09621077331695,4.5410986835488,3.13507628240427,0.999975039665664,0.999987697852589,0.999981873702715,7.01966736028297,6.90305162984896,6.9,6.9,6.9,100,20,345,46.5701023219376,46.6363534768151,0.863139863475924,0,0,NaN,0,NaN,0,0,0,0,0,908.6401031,OK
E-AC-01a,MPCC_D_R,P1,Vac,step,17,0,50,0,,0,0.7,0.3,0,17,0.000831961070865321,0,0,-0.130465902141566,399.998844820656,399.869534097858,400.009557766112,16.386030338389,-15.993783962463,13.827443961187,-13.331574361641,5.09971606512949,-4.05535743789645,48.8848940855547,51.0942207603483,0.0747273852375593,3.554041045641,2.7759962510072,4.71922155912748,2.81895731219221,3.10191574862763,4.94486757295067,3.1336284221411,0.999974660714259,0.999987293553215,0.999982091807249,7.02031258029974,6.90305160053758,6.9,6.9,6.9,100,20,345,46.5729649557277,46.6412963078015,0.863160672775031,0,0,NaN,0,NaN,0,0,0,0,0,901.812838,OK
E-AC-01a,MPCC_P,P1,Vac,step,17,0,50,0,,0,0.7,0.3,0,17,0.000686177887612595,0,0,-0.00882275292696022,399.978650532726,399.991177247073,400.021700582815,11.119468656575,-11.456930412502,10.818902190027,-11.401320524426,3.07641570135336,-0.307147448377511,50.2353770737386,50.25261658965,0.0515310833400315,0.174555831262339,5.02625590330964,5.05115714104943,4.96530764811274,11.0001239954989,10.9468292518169,10.9363079331463,0.999563055086403,0.999575842580714,0.999613009296813,7.01913152837436,6.90321125614511,6.9,6.9,6.9,100,20,345,41.221358647212,41.3786968649698,0.862841814753381,0,0,NaN,0,NaN,0,0,0,0,0,921.3091573,OK
E-AC-01b,CRPR,P2,Vac,step,34,0,50,0,,0,0.7,0.3,0,34,0.000789166988900529,0,0,-0.00659453626417417,399.993860685847,399.993405463736,400.007800263909,11.29588937798,-11.945773045018,11.282431948242,-11.922376994068,5.95564829317492,0.00623167928083681,45.5113427385906,45.5460676920599,0.0427915347267719,0.043063943580064,11.5842591047519,11.565441751916,11.5910093368909,11.6706662581573,11.6571558518988,11.6778949965306,0.999527546839528,0.99954792030128,0.999567140211153,7.02009311603774,6.90305490768693,6.9,6.9,6.9,100,20,345,48.9299589628863,49.05292784384,0.862866290033406,0,0,NaN,0,NaN,0,0,0,0,0,985.0981828,OK
E-AC-01b,MPCC_D,P2,Vac,step,34,0,50,0,,0,0.7,0.3,0,34,0.000868425706774345,0,0,-0.236934729745997,400.006707696301,399.763065270254,400.002098053395,21.181751097402,-20.919236130501,17.308820080904,-15.211815807541,7.69117011160717,-8.00119133197808,54.6194115845213,58.6623759733714,0.0738146658426878,5.91278728326137,5.48114381479756,8.57454319328869,5.47570826378107,5.65004463089252,8.8301691481648,5.6464072460655,0.999960497130096,0.999995743543377,0.999969375607155,7.02399320407593,6.90305288264878,6.9,6.9,6.9,100,20,345,46.5664698091187,46.525715466648,0.863567859933545,0,0,NaN,0,NaN,30.5000000000001,0,0,40,40,952.8205513,OK
E-AC-01b,MPCC_D_F1,P2,Vac,step,34,0,50,0,,0,0.7,0.3,0,34,0.00051958045053406,0,0,-0.25699789971776,399.98883835478,399.743002100282,400.020855620146,20.885222187259,-20.914226157316,17.341962012565,-15.812593084335,7.72838319015972,-7.99843174978627,53.7948154132589,58.0738362440297,0.0783338151353294,6.00859071582918,2.74181757272498,7.77515175107903,2.80445139635974,3.08075790708217,8.03633331977697,3.13284749110315,0.999974122937831,0.999988032340835,0.999982406673708,7.02230356194899,6.9030512910358,6.9,6.9,6.9,100,20,345,46.5631314343096,46.5594715712445,0.863598762203045,0,0,NaN,0,NaN,34.7000000000001,28.2,0,60.0000000000001,60.0000000000001,907.5429887,OK
E-AC-01b,MPCC_D_F10,P2,Vac,step,34,0,50,0,,0,0.7,0.3,0,34,0.00101806135592258,0,0,-0.241176279832246,400.002007910156,399.758823720168,400.002691711611,21.06233921509,-20.590781765264,17.296161871734,-14.939884943527,7.73004563574005,-7.99091286012452,53.7154846442932,57.6194889369299,0.0533334129772383,6.02938342837053,2.76656486912371,7.80004085056978,2.80609010206741,3.09621077331695,8.05115208711257,3.12799771314146,0.999975039665664,0.999984816201224,0.999980838649737,7.02387472919335,6.90305171873774,6.9,6.9,6.9,100,20,345,46.5701023219376,46.5606364543886,0.863564964965922,0,0,NaN,0,NaN,30.7000000000001,0,0,60.0000000000001,60.0000000000001,917.1414711,OK
