test_id,VARIANT_NAME,priority,channel,shape,amp,k,f,phase,channel2,amp2,t_on,dwell,e_meas_Vdc,e_meas_Vac,e_meas_Iac,e_meas_Vbat,e_meas_Ibat,dVdc_V,Vdc_pre_V,Vdc_dur_V,Vdc_post_V,e_I_rms_A,I_dc_A,I_peak_A,I_peak_on_A,I2_pre_pct,I2_dur_pct,THD50_pre_pct,THD50_dur_pct,THD50_post_pct,THD_full_pre_pct,THD_full_dur_pct,THD_full_post_pct,PF_pre,PF_dur,PF_post,Pac_dur_kW,Pdc_dur_kW,P_charge_pre_kW,P_charge_dur_kW,P_charge_post_kW,power_retention_pct,Ibat_dur_A,Vbat_dur_V,Iref_pre_A,Iref_dur_A,D_dcdc_dur,state_dur,state_post,t_switch_ms,trip,t_trip_ms,Vdc_over_on_V,Vdc_under_on_V,Vdc_over_off_V,Vdc_under_off_V,t_settle_ms,t_rec_Vdc_ms,t_rec_P_ms,t_rec_THD_ms,t_rec_ms,sim_wall_s,status
E-AC-01a,CRPR,P1,Vac,step,17,0,50,0,,0,0.7,0.3,0,17,0.000789012321751409,0,0,-0.00684843868424423,399.993860685847,399.993151561316,400.008048064868,5.95575830221437,0.00633300198356519,45.5245780637124,45.502174175758,0.0427915347293973,0.0433312767506659,11.5842591047518,11.565555347207,11.5909012643241,11.6706662581572,11.6572774716215,11.677818491109,0.999527546839528,0.999547541594251,0.999567297574903,7.02007773873784,6.90305490083221,6.9,6.9,6.9,100,20,345,48.9299589628955,49.0531124445921,0.862866842047886,0,0,NaN,0,NaN,11.2683618329023,-11.8161163318211,11.2531667001559,-11.8027742570126,0,0,0,0,0,394.32492,OK
E-AC-01a,MPCC_D,P1,Vac,step,17,0,50,0,,0,0.7,0.3,0,17,0.000871817357140287,0,0,-0.124473314407169,400.006707696301,399.875526685593,400.00063172987,5.0650743073853,-3.96866029917495,49.6827564091201,51.5186574825352,0.0738146658439581,3.15934047913349,5.48114381479807,6.1949430241623,5.49877005955436,5.65004463089285,6.37153558205093,5.66738902642303,0.999960497130096,0.999972174451465,0.999970344942372,7.01945172964869,6.90305286861599,6.9,6.9,6.9,100,20,345,46.5664698091245,46.6230332483835,0.863157263406124,0,0,NaN,0,NaN,15.9101176314998,-15.9369890881776,13.7754065576402,-13.1614160863301,0,0,0,0,0,396.852917,OK
E-AC-01a,MPCC_D_F1,P1,Vac,step,17,0,50,0,,0,0.7,0.3,0,17,0.000882326467017451,0,0,-0.132121349477075,399.98883835478,399.867878650523,400.010111736641,5.05552512657642,-3.99765568628157,48.6786759494584,50.6112248903679,0.0783338151353294,3.05906957216904,2.74181757272498,4.29040316825429,2.8081338897066,3.08075790708217,4.54662755462427,3.13312512161974,0.999974122937831,0.999987481040004,0.999981811223488,7.01869313018214,6.90305136164557,6.9,6.9,6.9,100,20,345,46.5631314343096,46.6325132236853,0.863158458113924,0,0,NaN,0,NaN,15.755999780616,-15.897028847557,13.738007372819,-13.245810395536,0,0,0,40,40,878.3498371,OK
E-AC-01a,MPCC_D_F10,P1,Vac,step,17,0,50,0,,0,0.7,0.3,0,17,0.000825155112713394,0,0,-0.123407052793652,400.002007910156,399.876592947206,400.003313937125,5.0607497219272,-4.00211663939856,48.6705259676942,50.3887216472028,0.0533334129772383,3.05739073591687,2.76656486912371,4.28973138754608,2.81810856104999,3.09621077331695,4.5410986835488,3.13507628240427,0.999975039665664,0.999987697852589,0.999981873702715,7.01966736028297,6.90305162984896,6.9,6.9,6.9,100,20,345,46.5701023219376,46.6363534768151,0.863139863475924,0,0,NaN,0,NaN,15.756619343506,-15.628575795934,13.710957417147,-12.861896766721,0,0,0,0,0,904.1210902,OK
E-AC-01a,MPCC_D_H1,P1,Vac,step,17,0,50,0,,0,0.7,0.3,0,17,0.000859019054621254,0,0,-0.133536687803144,399.989501381361,399.866463312197,400.003514909392,5.02937618998796,-4.010464771,48.6787366172975,50.5885387411145,0.131326182281621,2.91834938531226,2.79819941655603,4.21466231593758,2.85673998984362,3.14081466976984,4.481169649189,3.18053469832328,0.999991858740384,0.999989123423078,0.999994694582882,7.01929040673876,6.90305129823567,6.9,6.9,6.9,100,20,345,46.4993319718059,46.5466769971855,0.863160808478678,0,0,NaN,0,NaN,15.7781748456397,-15.8402182453316,13.842696689822,-13.1693824637891,0,0,0,40,40,389.674789,OK
E-AC-01a,MPCC_D_M1,P1,Vac,step,17,0,50,0,,0,0.7,0.3,0,17,0.000926414180001576,0,0,-0.133940503557312,399.998410317771,399.866059496443,400.009742129004,4.71998677933447,-3.35126303626341,47.5883046742399,49.5924246086241,0.286558063786168,2.33768239924825,3.2245997303564,4.11537849596051,3.24562996571062,3.55105526655015,4.4256813609709,3.56638051004831,0.999982497527478,0.999960612698098,0.999990387984669,7.01772320875816,6.90305098971223,6.9,6.9,6.9,100,20,345,46.4361509078238,46.4339777463776,0.863145614077544,0,0,NaN,0,NaN,15.234903431494,-15.624212129523,13.243805523957,-13.349112060441,0,0,0,0,0,885.614283,OK
E-AC-01a,MPCC_D_R,P1,Vac,step,17,0,50,0,,0,0.7,0.3,0,17,0.000831961070865321,0,0,-0.130465902141566,399.998844820656,399.869534097858,400.009557766112,5.09971606512949,-4.05535743789645,48.8848940855547,51.0942207603483,0.0747273852375593,3.554041045641,2.7759962510072,4.71922155912748,2.81895731219221,3.10191574862763,4.94486757295067,3.1336284221411,0.999974660714259,0.999987293553215,0.999982091807249,7.02031258029974,6.90305160053758,6.9,6.9,6.9,100,20,345,46.5729649557277,46.6412963078015,0.863160672775031,0,0,NaN,0,NaN,16.386030338389,-15.993783962463,13.827443961187,-13.331574361641,0,0,0,0,0,910.9611449,OK
E-AC-01a,MPCC_P,P1,Vac,step,17,0,50,0,,0,0.7,0.3,0,17,0.000686177887612595,0,0,-0.00882275292696022,399.978650532726,399.991177247073,400.021700582815,3.07641570135336,-0.307147448377508,50.2353770737386,50.25261658965,0.0515310833400307,0.174555831262346,5.02625590330964,5.05115714104943,4.96530764811274,11.0001239954989,10.9468292518169,10.9363079331463,0.999563055086403,0.999575842580714,0.999613009296813,7.01913152837436,6.90321125614511,6.9,6.9,6.9,100,20,345,41.221358647212,41.3786968649698,0.862841814753381,0,0,NaN,0,NaN,11.1419560293159,-11.5721416677894,10.8251295730253,-11.477992363827,0,0,0,0,0,387.821952,OK
E-AC-01a,MPCC_R,P1,Vac,step,17,0,50,0,,0,0.7,0.3,0,17,0.000956887123968942,0,0,0.00464651155050433,399.989501381361,400.004646511551,400.014629440134,4.0358570414973,-0.115413852050913,43.7693119374803,50.5885387411145,0.131326182281621,0.154321766363762,2.79819941655603,2.6209665580971,2.84111715755728,3.14081466976984,3.34513306983588,3.17340734257558,0.999991858740384,0.999996428569104,0.99999500907618,7.02358348941233,6.90305185340611,6.9,6.9,6.9,100,20,345,46.4993319718059,46.6992217408627,0.862798175662764,0,0,NaN,0,NaN,15.7630297154502,-15.9632563144957,10.7994420240336,-11.2343504271235,0,0,0,20,20,396.401054,OK
E-AC-01a,MPCC_R_ON,P1,Vac,step,17,0,50,0,,0,0.7,0.3,0,17,0.000913004542590949,0,0,-0.0340443096087597,400.008767680513,399.965955690391,399.999665791762,4.09524757419917,0.00824336483377577,43.4699215037349,43.3896362319411,0.06364359128248,0.0500528743348262,2.04289290849956,2.10094898840578,2.25504016198856,2.85900122000568,2.90958989182628,2.99509956984178,0.99998031404478,0.99997985873604,0.999978575194356,7.01767520609963,6.90305064607109,6.89999996477689,6.90000036000472,6.89999988838355,100.00000572794,20.0000010016449,345.000000500823,46.9521320673038,46.8147202506539,0.862877938245039,0,0,NaN,0,NaN,10.7447204027974,-11.0693964912543,10.6917331225695,-10.8993392333043,0,0,0,280,280,393.253068,OK
