variant,THD50,THD_full,PF,I2
MPCC_D,5.47501001975636,5.67689927486841,0.999962849526894,0.0713959184011276
MPCC_D_F1,2.76365732977488,3.27840210876134,0.999972696825498,0.0861673648137068
MPCC_D_F10,2.69575919381047,3.10337086982893,0.999984025477825,0.0694228904050486
MPCC_D_R,2.79500221016137,3.11379301469864,0.999976469844517,0.0264003233055369
MPCC_D_M1,3.18342297004963,3.66097457697863,0.999984132864578,0.156535703500419
MPCC_D_H1,2.82032106347294,3.2501869430666,0.999991161030405,0.217557581484454
